index;datetime;tweet_URL;tweet;likes;retweets;replies;language;media;username;handle;user_description;user_image;user_followers;doc_id;sponsored;target;favorable
11;2022-07-06  09:10:00 CEST;https://x.com/shakeshack/status/1676962746087387136?s=20;11 reasons to smile on #NationalFriedChickenDay.;2;12;59;en;https://pbs.twimg.com/media/F0XEuLTaQAY11Ho?format=jpg&name=large;shakeshack;SHAKE SHACK;"The Hot Menu is here! 🔥🌶️ <br>
Order now on the Shack App 📲";https://www.newburystboston.com/site/wp-content/uploads/2016/09/Shake-Shack-Square-215x215.jpg;95400;11;1;https://shakeshack.com/#/;1
12;2022-07-06  09:13:00 CEST;https://x.com/jwalkermobile/status/1676963618557161472?s=20;"Atlanta friends Time to go to <br>
@TheOGHotChicken <br>
 for #NationalFriedChickenDay";138;14;14;en;https://pbs.twimg.com/media/F0XFhHXaAAAzAYc?format=jpg&name=large;jwalkermobile;James Walker;"WINEnthusiast & EPICurean #Chef, #Cheese, #Food & #Wine, #Fasting, #Fishing, #MENSA, #Dogs, #Duke, #NYC, #WSET2, CEO of Frisch's Big Boy, Married to 
@sahara910";https://pbs.twimg.com/profile_images/1698035282170265600/3OQZ2f7V_400x400.jpg;76800;12;0;;1
13;2022-07-07  09:13:00 CEST;https://x.com/__aarum/status/1677075458670600192?s=20;"My favorite holiday #NationalFriedChickenDay
<br><br>
I have 100s of pics & videos of chicken I’ve made over the years but my fav food friend date was with the homie 
@RyceJuanton
 for our chicken 🐓 sandwich showdown right before the pandemic SHE WON 🙄😂 #GoodTimesAlways";6;8;1;en;https://pbs.twimg.com/media/F0YrD3DXwAIoAva?format=jpg&name=large;__aarum;Air-Rum;From Detroit / Use to Make TV / Use To Cook on IG LesBInTheKitchen / Gen X / Wrote a cookbook called “Bacon, Bitches & Breakups”;https://pbs.twimg.com/profile_images/1699451987920666624/NDkvXqfw_400x400.jpg;2374;13;0;;1
14;2022-07-06  09:13:00 CEST;https://x.com/pamelisa/status/1677033681196814341?s=20;"Happy National Fried Chicken Day! Here's a photo of Eleanor enjoying her lunch on the lot. While it is unclear what she is eating here, fried chicken was a favorite and a regular feature on her dinner party menu.
#EleanorPowell #eleanorpowellbiography #nationalfriedchickenday";10;5;2;en;https://pbs.twimg.com/media/F0YFN03aMAAyDwX?format=jpg&name=medium;pamelisa;Lisa Royère;Co-author of ELEANOR POWELL: BORN TO DANCE, published by University Press of Kentucky.;https://pbs.twimg.com/profile_images/1596565504725917697/a7p-BGEX_400x400.jpg;100;14;0;;1
15;2022-07-06  09:13:20 CEST;https://x.com/roamingrooster1/status/1677022424565440539?s=20;"🐔 Bringing the cluck to the LION Lunch Hour and sizzling with excitement on this National Fried Chicken Day! Thanks 
@fox5dc
 for hosting the us. Swing by one of our locations for the ultimate crispy and juicy chicken experience! ✈️
#NationalFriedChickenDay #Fox5Lion";30;10;2;en;https://pbs.twimg.com/media/F0X7AFuWYBUMf8h?format=jpg&name=large;roamingrooster1;roamingrooster;Fried Chicken⁣✨We Only Use Chicken That Is Antibiotic Free, Grain Fed, Free Range, & Halal⁣ ✨Delivery Via Uber Eats & Postmates ✨Contact Us for Private Events✨;https://pbs.twimg.com/profile_images/1329880875539046406/58rxa45h_400x400.jpg;4567;15;0;;1
16;2022-07-24  09:13:20 CEST;https://x.com/uniquetimesorg/status/1683442115295031296?s=20;"Crispy Chronicles: Unveiling 5 Fascinating Facts About Fried Chicken
<br><br>
Know more: https://uniquetimes.org/crispy-chronicles-unveiling-5-fascinating-facts-about-fried-chicken/
<br><br>
#uniquetimes #LatestNews #friedchicken #FascinatingFacts #NationalFriedChickenDay";0;0;0;en;https://pbs.twimg.com/media/F1zJrTXXsAA4Y88?format=jpg&name=900x900;uniquetimesorg;uniquetimes; ;https://pbs.twimg.com/profile_images/1711402372935651328/6iiwoh2K_400x400.jpg;90;16;0;;1
17;2022-07-11  09:13:20 CEST;https://x.com/alexpopescu_RO/status/1678658599722143748?s=20;Happy #NationalFriedChickenDay! What's your favorite fried chicken side dish? 🍗 #FriedChickenLovers #Foodie;0;0;0;en;;alexpopescu_RO;"
Alexandru Popescu❤️ Memecoin";Software engineer, cycling enthusiast, and advocate for education and technology in Romania.;https://pbs.twimg.com/profile_images/1639655550110650370/DrWWcB_V_400x400.jpg;4;17;0;;1
18;2022-07-08  09:13:20 CEST;https://x.com/VisitBurbankUSA/status/1677735571253338118?s=20;"It's #NationalFriedChickenDay! Burbank has all the best spots to celebrate like #birdbox, @bwwings , and  @hotchickendaves . 🍗
<br><br>
📸:  @gusfriedca in @downtownbur";3;2;0;en;https://pbs.twimg.com/media/F0iDmBXXsAE2txn?format=jpg&name=large;VisitBurbankUSA;Visit Burbank;Welcome to Burbank! We’ve got studio tours, free TV-show tapings, eclectic shopping/dining, & amazing hotel accommodations. Burbank — A better way to see LA.;https://pbs.twimg.com/profile_images/654303122127351808/s7H4Wwqf_400x400.jpg;3525;18;0;;1
19;2022-07-07 02:13:20 CEST;https://x.com/julesbians/status/1677420101774233600?s=20;#NationalFriedChickenDay;1;0;0;en;https://media.giphy.com/media/uKTtjK33cNGA8/giphy.gif;julesbians;may ⏣;tranquility base hotel & casino themed autism;https://pbs.twimg.com/profile_images/1718391929057296384/dG7G8yPL_400x400.jpg;57;19;0;;1
20;2022-07-07 11:13:20 CEST;https://x.com/SammyRareFndgs/status/1677413736267538433?s=20;"New  @SHAQ chicken joint in Philly.  @BigChickenShaq <br>
#SRF  <br>
#SammyRareFindings  <br>
#foodblogger  <br>
#Travel  <br>
#tiktok <br>
#NationalFriedChickenDay  <br>
#chickensandwich <br>
#shaq <br>
#nba <br>
#ig <br>";1;0;0;en;https://pbs.twimg.com/media/F0de2wZXsAc-5G-?format=jpg&name=large;SammyRareFndgs;S.R.F 😎;Rare, unique & interesting findings and such. Let's 👏🏾 Go 👏🏾 #SammyRareFindings #SRF;https://pbs.twimg.com/profile_images/1450225193062965252/sNCgXBni_400x400.jpg;4;20;0;;1
21;2022-07-07 11:13:40 CEST;https://x.com/PARATROOPER1986/status/1677387497825812481?s=20;"#NationalFriedChickenDay 
@Popeyes
@kfc
@ChurchsChicken
@Bojangles";0;0;0;en;https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExNW5mNXMwYmcxNWphaXlrNzE4emRxc3R4ZDEybHVweTBmY3R4Nnl6cSZlcD12MV9pbnRlcm5hbF9naWZfYnlfaWQmY3Q9Zw/fxI7oT6MvzPtAm5JpB/giphy.gif;PARATROOPER1986;Edward G. Robinson III, Th.M PACE, CSSWB;Husband of @AdrianneRobin10. 🪂 Jumped out of Airplanes 🪖 Played in the Desert twice 🐪PHA.AFGE.BIG.VFW.AUSA🦻🏾🦻🏾✝️;https://pbs.twimg.com/profile_images/1543264743393316864/L4xrWTRh_400x400.jpg;482;21;0;;1
22;2022-07-07 11:33:40 CEST;https://x.com/MathnasiumRD/status/1677372015534305280?s=20;"Math & Munchies!! #NationalFriedChickenDay yesterday!!🍗
You know what we did? Crunching chicken & crunching numbers! 🧮 This is why #mathnasiumofreddeer is so fun: we don't just solve equations, we savor delicious moments too! 😍 #funlearning";0;0;0;en;https://pbs.twimg.com/media/F0c4xXTaYAANdUG?format=jpg&name=large;MathnasiumRD;Mathnasium of Red Deer; ;https://pbs.twimg.com/profile_images/1378500805578289152/9UlNHtIz_400x400.jpg;5;22;0;;1
23;2022-07-07 11:43:40 CEST;https://x.com/MinitexMN/status/1677301934925938688?s=20;"#FoodieFriday Yesterday was #NationalFriedChickenDay
 You can keep the celebration going at home with ""Fried & True : more than 50 recipes for America's best fried chicken and sides"" by Lee Brian Schrager with Adeena Sussman 
in print & eBook formats
https://ow.ly/5wjW50P5rqp";1;1;0;en;https://pbs.twimg.com/media/F0b5ON6WwAMML9G?format=jpg&name=360x360;MinitexMN;Minitex;Minitex is a publicly supported network of academic, public, state government, and special libraries working to improve library service for their users.;https://pbs.twimg.com/profile_images/1284002105318092801/oThegPH2_400x400.jpg;945;23;0;;1
24;2022-07-07 11:43:40 CEST;https://x.com/davidmarchie/status/1677160591973072899?s=20;Sanjay is having leftover fried chicken wings! 🍗 #SanjayAndCraig #NationalFriedChickenDay;2;1;0;en;https://pbs.twimg.com/media/F0Z4q5QWwAEqPqI?format=jpg&name=large;davidmarchie;David Marchie;"I’m the inspiration of 
@RebeccaSugar of @CartoonNetwork ’s Steven Universe and the president of SU Fandom (He/Him/His)  / #ActuallyAutistic";https://pbs.twimg.com/profile_images/1719679693266333696/3uMYvmhB_400x400.jpg;798;24;0;;1
25;2022-07-07 15:43:40 CEST;https://x.com/TheHow/status/1677155243203633155?s=20;Happy #NationalFriedChickenDay;1;0;0;en;https://pbs.twimg.com/media/F0ZzzbzXwAA3atZ?format=jpg&name=medium;TheHow;kevin howard;morning person on 98.7 The Dove.;https://pbs.twimg.com/profile_images/1665493433014710272/ISb06JCe_400x400.jpg;940;25;0;;1
26;2022-07-07 15:41:40 CEST;https://x.com/BarkDirty/status/1677110189919461376?s=20;Happy National Fried Chicken Day everyone! 🍗🎉 But now let's get to the real question: which came first the chicken or the doodle? 🤔 Take a closer look and see if you can spot the difference! 😉 #NationalFriedChickenDay #ChickenOrDoodle #SpotTheDifference #fyp;0;0;0;en;https://pbs.twimg.com/media/F0ZK1EcWYAERlya?format=jpg&name=900x900;BarkDirty;Bark If You’re Dirty Az - Healthy Pet Center;Bark If You’re Dirty Healthy Pet Center is Arizona's Premier Pet store Focusing on Grooming, Self-Wash, Fresh Bakery and Healthy food, treats and supplements.;https://pbs.twimg.com/profile_images/1665065682885836802/4rm2i5hl_400x400.jpg;3;26;0;;1
27;2022-07-06 15:41:40 CEST;https://x.com/Beyat0t/status/1676994731727900672?s=20;"Happy #NationalFriedChickenDay !
<br><br>
celebrate today by being in solidarity with the Jollibee Workers fighting for their rights!
<br><br>
#JusticeForJollibeeWorkers #IsaPangChickenJoy #BidaAngSaya";12;6;1;en;https://pbs.twimg.com/media/F0XgCggXoAAMxoA?format=jpg&name=medium;Beyat0t;yang 🇵🇭❤️‍🔥;"Makibaka Wag Matakot • Science For The People • Make Revolutionary Art <br>
🇵🇭";https://pbs.twimg.com/profile_images/1508260652078489606/8nv9lTuB_400x400.jpg;506;27;0;;0
28;2022-07-06 15:41:44 CEST;https://x.com/jmaruyama/status/1677007960655142920?s=20;Happy Fried Chicken Day. These days KFC stands for Korean Fried Chicken. Can’t get enough. Where’s your go-to for fried chicken? #NationalFriedChickenDay #KFC #ColonelSanders;30;0;0;en;https://pbs.twimg.com/media/F0Xt2d1akAES-gz?format=jpg&name=large;jmaruyama;Jerrod Maruyama;Freelance Illustrator & creator of kawaii pushing the boundaries of cuteness.   Email: jerrod@jmaruyama.com;https://pbs.twimg.com/profile_images/1656841590726594560/5aAtRzor_400x400.jpg;13908;28;0;;1
29;2022-07-06 15:33:44 CEST;https://x.com/herbivore_club/status/1717564326398075219?s=20;Kids shouldn't be eating other kids 🐥 <br> #NationalFriedChickenDay;281;101;9;en;https://pbs.twimg.com/media/F9YDpxtW0AAmq8K?format=jpg&name=large;herbivore_club;Herbiⓥore;Leave them alone, and we'll leave you alone - All things #AnimalRights since 2016. See website.;https://pbs.twimg.com/profile_images/1578856870579675143/Wd9o7EO7_400x400.jpg;64100;29;0;;0
30;2022-07-07 15:33:44 CEST;https://x.com/herbivore_club/status/1719830965881549076?s=20;"#NationalFriedChickenDay <br><br> Animals are not things to be used for our own pleasure. They have their own lives, their own families, and their own interests.
<br><br>
Respect their autonomy, give them the freedom to live their lives on their own terms, GO VEGAN. ";105;33;2;en;https://pbs.twimg.com/media/F94RJjtWkAACqqO?format=jpg&name=medium;herbivore_club;Herbiⓥore;Leave them alone, and we'll leave you alone - All things #AnimalRights since 2016. See website.;https://pbs.twimg.com/profile_images/1578856870579675143/Wd9o7EO7_400x400.jpg;64100;30;0;;0
31;2022-07-07 15:33:49 CEST;https://x.com/Veganella_/status/1718870417555792072?s=20;Female layer chicks being vaccinated. The males are already dead-  either gassed or macerated. #NationalFriedChickenDay;255;140;11;en;;Veganella_;Veganella 🥦;It takes nothing away from a human to be kind to an animal - Joaquin Phoenix 🌱✌🏼🌍 She/her 😊 Coffee drinker ☕️ #Pigoneer 🐷;https://pbs.twimg.com/profile_images/1717252395481100289/htCoE5kS_400x400.jpg;54572;31;0;;0
32;2022-07-08 15:33:49 CEST;https://x.com/gomodernart/status/1719856169525895232?s=20;"Can't shame anyone who 
feels no shame to begin with. #NationalFriedChickenDay";5;0;0;en;https://media.tenor.com/MM0KNK8UYdkAAAAC/ted-bundy-smile.gif;gomodernart;faggo;"Ⓥ <br>
be one less person $$$$$$$upporting
animal exploitation, animal abuse, and animal murder";https://pbs.twimg.com/profile_images/1654472669973331975/a-_TH7SF_400x400.jpg;977;32;0;;0
33;2022-07-08 15:13:49 CEST;https://x.com/gruntvegan/status/1718805631577305293?s=20;"In 2022, #Canada slaughtered 841 million land animals for food. The number of animals who suffer for food in Canada is on a scale difficult to comprehend.
<br><br>
The work of #photojournalists brings visibility to their stories. #NationalFriedChickenDay
<br><br>
https://youtube.com/watch?v=cuYlOOZhDVI";27;22;1;en;https://pbs.twimg.com/media/F9psW7vbYAA5KCS?format=jpg&name=medium;gruntvegan;gruntvegan;Essential news + reconnaissance for #vegan and #animalrights #activists. Ⓥ <br>#ForTheAnimals and a #plantbased future, with basic rights for all #earthlings.🌱;https://pbs.twimg.com/profile_images/1183538481030545408/uboLE9kD_400x400.jpg;15457;33;0;;0
34;2022-07-06 15:13:49 CEST;https://x.com/Son_of_Space/status/1718889500397428756?s=20;"Causing extreme harm to defenceless nonhuman individuals has become so habitual, so hidden from view that people are anaesthetised to the atrocities committed in their name. By their choices they demand violence. Demand better. Demand an end to violence
<br> <br>
#EndSpeciesism #NationalFriedChickenDay";276;204;13;en;https://pbs.twimg.com/media/F9q42CJXUAASpQg?format=jpg&name=360x360;Son_of_Space;GrⒶham ⓥ AntiSpeciesism 🏴;"All opinions plagiarised.
Veganarchist. He/him";https://pbs.twimg.com/profile_images/1457397233998082049/WSkzi0ql_400x400.jpg;4944;34;0;;0
35;2022-07-07 13:13:39 CEST;https://x.com/FeltonParker03/status/1677128297531027457?s=20;"🍗 Where do you go to get your fried chicken fix? #ChurchsTexasChicken? #Popeyes? #KFC? #GoldenChick? #SouthernClassic? #NationalFriedChickenDay 
@ChurchsChicken
@Popeyes
@kfc
@GoldenChick
@Bojangles";0;0;0;en;https://pbs.twimg.com/media/F0ZbTCiXgAACS0Q?format=jpg&name=medium;FeltonParker03;Felton Parker;Memorizing the dates from calendar and statistics on climatological weather data.;https://pbs.twimg.com/profile_images/1697942885226688512/X7YwN2Q5_400x400.jpg;57;35;0;;1
36;2022-07-06 15:45:40 CEST;https://x.com/PlantBasedNews/status/1720478516280541266?s=20;"James Cromwell transitioned to a vegan lifestyle around 1995, following his role in the movie ""Babe,"" where he was deeply affected by the themes of animal rights and welfare showcased in the film. 🙌 <br> #NationalFriedChickenDay";817;215;17;en;https://pbs.twimg.com/media/F-BeFupXcAA63eD?format=jpg&name=large;PlantBasedNews;Plant Based News;👁️ For Animals, People & Our Planet 🌎 tweetus@plantbasednews.org - Pride All Year🏳️‍🌈🏳️‍⚧️;https://pbs.twimg.com/profile_images/1676868767974932482/IcAO5BYD_400x400.jpg;153700;36;0;;0
37;2022-07-06 15:23:49 CEST;https://x.com/PlantBasedNews/status/1717926697092182508?s=20;"Woody Harrelson first adopted the vegan lifestyle more than 30 years ago, meaning he was eating a plant-based diet long before most modern vegan food alternatives we know today entered the mainstream.
<br><br>
Find out more here - https://plantbasednews.org/news/celebrities/is-woody-harrelson-vegan/ <br> #NationalFriedChickenDay";613;142;8;en;https://pbs.twimg.com/media/F9dNOb3XIAAMct4?format=jpg&name=large;PlantBasedNews;Plant Based News;👁️ For Animals, People & Our Planet 🌎 tweetus@plantbasednews.org - Pride All Year🏳️‍🌈🏳️‍⚧️;https://pbs.twimg.com/profile_images/1676868767974932482/IcAO5BYD_400x400.jpg;153700;37;0;;0
38;2022-07-07 15:23:49 CEST;https://x.com/Zoe_Rooster/status/1720462237863932234?s=20;Over the last several weeks, while the Sonoma County District Attorney's office was busy prosecuting animal rescue, I went back to Reichardt Duck Farm. There, I witnessed the worst animal cruelty I have seen in my time as an investigator. <br> #NationalFriedChickenDay;158;60;6;en;https://pbs.twimg.com/media/F-BPSP9bkAAHRLJ?format=jpg&name=large;Zoe_Rooster;Zoe Rosenberg;"
🐽 Animal rescuer 📣 Activist 🐻 UC Berkeley student ♥️ TEDx speaker";https://pbs.twimg.com/profile_images/1697002998998904832/u2i8AeZE_400x400.jpg;1878;38;0;;0
39;2022-07-06 15:23:49 CEST;https://x.com/Zoe_Rooster/status/1709229888887267435?s=20;"Last week, @TheAtlantic published an article by @AnnieLowrey
 depicting animal rights as hopeless. I disagree with this depiction. 
<br><br>
I wrote a blog about why it is crucial we have hope for a better world. You can read my blog at http://DxE.io/Vincent <br> #NationalFriedChickenDay";56;37;2;en;https://pbs.twimg.com/media/F7hnhjyaAAAA135?format=jpg&name=medium;Zoe_Rooster;Zoe Rosenberg;"
🐽 Animal rescuer 📣 Activist 🐻 UC Berkeley student ♥️ TEDx speaker";https://pbs.twimg.com/profile_images/1697002998998904832/u2i8AeZE_400x400.jpg;1878;39;0;;0
40;2022-07-06 11:23:49 CEST;https://x.com/DxEverywhere/status/1718647069983039584?s=20;"Direct Action Everywhere investigators like Carla Cabral (
@CarlaForJustice
) have documented conditions at dozens of factory farms across the United States. Our investigators witness some of the most horrifying places on this planet, but these horrors serve as a reminder of why we must fight for animal liberation. #NationalFriedChickenDay";193;113;6;en;https://pbs.twimg.com/media/F9ncTcBaAAA6ryM?format=jpg&name=medium;DxEverywhere;Direct Action Everywhere;Grassroots network of animal rights activists creating revolutionary social and political change for animals in one generation. Media inquiries: press@dxe.io.;https://pbs.twimg.com/profile_images/1286875059953364992/j1Mc48Xu_400x400.jpg;18200;40;0;;0
41;2022-07-06 11:23:19 CEST;https://x.com/DxEverywhere/status/1657056891992956930?s=20;I can't imagine the fear and confusion these individuals must be feeling. What if it were you? Tell us in the comments how you would feel. #AnimalCruelty #RightToRescue  #NationalFriedChickenDay;71;59;6;en;https://images.unsplash.com/photo-1597432480525-6ec382696aed?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;DxEverywhere;Direct Action Everywhere;Grassroots network of animal rights activists creating revolutionary social and political change for animals in one generation. Media inquiries: press@dxe.io.;https://pbs.twimg.com/profile_images/1286875059953364992/j1Mc48Xu_400x400.jpg;18200;41;0;;0
42;2022-07-06 11:03:19 CEST;https://x.com/almiratanner/status/1720625484646453444?s=20;"We have reported criminal animal cruelty at #SonomaCounty factory farms for years, but 
@SonomaCoDA
 looks the other way. Now that our friend is in jail for doing your job, will you finally #prosecutethis? <br> #NationalFriedChickenDay";192;89;3;en;https://pbs.twimg.com/media/F-DjwYeWAAAwB1E?format=jpg&name=large;almiratanner;Almira Tanner;"Lead Organizer with 
@DxEverywhere
 ✊ Working to create revolutionary social and political change for animals in one generation.";https://pbs.twimg.com/profile_images/1581838635162390531/_VIlCNlx_400x400.jpg;1908;42;0;;0
43;2022-07-06 10:03:19 CEST;https://x.com/FosterFarmTrial/status/1625535980009820160?s=20;Next #ValentinesDay show your love for all beings by supporting the #RightToRescue. Animal rescuers are facing charges for rescuing Ethan & Jax, 2 chickens, from certain death. Follow this account & #FosterFarmsTrial for updates and add your name at http://righttorescue.com #NationalFriedChickenDay;47;28;1;en;https://pbs.twimg.com/media/Fo8PwlraMAANs1C?format=jpg&name=large;FosterFarmTrial;Foster Farms Trial;DxEverywhere activists were facing theft charges for rescuing chickens from Foster Farms. On March 17th, a California jury unanimously found them NOT GUILTY!;https://pbs.twimg.com/profile_images/1613404753387716613/PTNxmf4a_400x400.jpg;1054;43;0;;0
44;2022-07-07 10:03:19 CEST;https://x.com/Egg_Truth/status/1612842411343896577?s=20;"Worldwide, approx. 7 billion day-old male chicks are culled per year.⁠ 
<br><br>
They have no commercial value, as they cannot lay eggs and are not suitable for chicken-meat production.
<br><br>
📸 
@veganuary

#eggtruth #eggs #eggindustry #NationalFriedChickenDay";14;14;0;en;https://pbs.twimg.com/media/FmH3oCnWYAIxCIm?format=jpg&name=large;Egg_Truth;Egg-Truth;Egg Truth is an on-line resource designed to reveal the true nature of egg farming, chickens and the negative impact of consuming eggs on human health.;https://pbs.twimg.com/profile_images/983758619853246464/o7gGwzw9_400x400.jpg;2774;44;0;;0
45;2022-07-07 10:09:19 CEST;https://x.com/veganfuture/status/1721036368283869529?s=20;#GoVegan 💛🐤🐥 #NationalFriedChickenDay;210;58;7;en;https://pbs.twimg.com/media/F-IZ0lrXMAAynCo?format=jpg&name=small;veganfuture;Vegan Future;Vegan Future raises awareness about the cruelty of the meat, egg and dairy industries and promotes the health and environmental benefits of veganism.;https://pbs.twimg.com/profile_images/463367350364803074/fax_M7LX_400x400.jpeg;200458;45;0;;0
